Time,SigA,SigB,SigC,SigD
0,0,0,0,0
0.01,1,-1,0.1,-0.1
0.02,2,-2,0.2,-0.2
0.03,3,-3,0.3,-0.3
0.04,4,-4,0.4,-0.4
0.05,5,-5,0.5,-0.5
0.06,6,-6,0.6,-0.6
0.07,7,-7,0.7,-0.7
0.08,8,-8,0.8,-0.8
0.09,9,-9,0.9,-0.9
0.1,10,-10,1,-1
0.11,11,-11,1.1,-1.1
0.12,12,-12,1.2,-1.2
0.13,13,-13,1.3,-1.3
0.14,14,-14,1.4,-1.4
0.15,15,-15,1.5,-1.5
0.16,16,-16,1.6,-1.6
0.17,17,-17,1.7,-1.7
0.18,18,-18,1.8,-1.8
0.19,19,-19,1.9,-1.9
0.2,20,-20,2,-2
0.21,21,-21,2.1,-2.1
0.22,22,-22,2.2,-2.2
0.23,23,-23,2.3,-2.3
0.24,24,-24,2.4,-2.4
0.25,25,-25,2.5,-2.5
0.26,26,-26,2.6,-2.6
0.27,27,-27,2.7,-2.7
0.28,28,-28,2.8,-2.8
0.29,29,-29,2.9,-2.9
0.3,30,-30,3,-3
0.31,31,-31,3.1,-3.1
0.32,32,-32,3.2,-3.2
0.33,33,-33,3.3,-3.3
0.34,34,-34,3.4,-3.4
0.35,35,-35,3.5,-3.5
0.36,36,-36,3.6,-3.6
0.37,37,-37,3.7,-3.7
0.38,38,-38,3.8,-3.8
0.39,39,-39,3.9,-3.9
0.4,40,-40,4,-4
0.41,41,-41,4.1,-4.1
0.42,42,-42,4.2,-4.2
0.43,43,-43,4.3,-4.3
0.44,44,-44,4.4,-4.4
0.45,45,-45,4.5,-4.5
0.46,46,-46,4.6,-4.6
0.47,47,-47,4.7,-4.7
0.48,48,-48,4.8,-4.8
0.49,49,-49,4.9,-4.9
0.5,50,-50,5,-5
0.51,51,-51,5.1,-5.1
0.52,52,-52,5.2,-5.2
0.53,53,-53,5.3,-5.3
0.54,54,-54,5.4,-5.4
0.55,55,-55,5.5,-5.5
0.56,56,-56,5.6,-5.6
0.57,57,-57,5.7,-5.7
0.58,58,-58,5.8,-5.8
0.59,59,-59,5.9,-5.9
0.6,60,-60,6,-6
0.61,61,-61,6.1,-6.1
0.62,62,-62,6.2,-6.2
0.63,63,-63,6.3,-6.3
0.64,64,-64,6.4,-6.4
0.65,65,-65,6.5,-6.5
0.66,66,-66,6.6,-6.6
